nflId,team,tackle_name
25511.0,TB,Tom Brady
35481.0,TB,Rob Gronkowski
39985.0,TB,Giovani Bernard
40151.0,TB,Ryan Jensen
41263.0,DAL,Demarcus Lawrence
42377.0,TB,Donovan Smith
42403.0,DAL,Randy Gregory
42404.0,TB,Ali Marpet
43306.0,DAL,Keanu Neal
44955.0,DAL,Carlos Watkins
46163.0,TB,Alex Cappa
52421.0,TB,Tristan Wirfs
53441.0,DAL,Micah Parsons
53504.0,DAL,Osa Odighizuwa
,football,
35441.0,TB,Ndamukong Suh
35454.0,TB,Jason Pierre-Paul
37082.0,DAL,Tyron Smith
38588.0,TB,Lavonte David
40074.0,TB,William Gholston
41915.0,TB,Shaquil Barrett
42654.0,DAL,La'el Collins
43293.0,DAL,Ezekiel Elliott
43424.0,DAL,Dak Prescott
45532.0,DAL,Blake Jarwin
46081.0,TB,Vita Vea
46119.0,DAL,Connor Williams
46206.0,DAL,Dalton Schultz
47788.0,TB,Devin White
47873.0,DAL,Connor McGovern
52554.0,DAL,Tyler Biadasz
53461.0,TB,Joe Tryon
34777.0,TB,Steve McLendon
42560.0,TB,Rakeem Nunez-Roches
47911.0,DAL,Tony Pollard
46107.0,TB,Ronald Jones
44816.0,TB,Leonard Fournette
41363.0,DAL,Brent Urban
44892.0,DAL,Tarell Basham
46185.0,DAL,Dorance Armstrong
53621.0,DAL,Quinton Bohanna
43323.0,DAL,Jaylon Smith
44831.0,TB,O.J. Howard
46088.0,DAL,Leighton Vander Esch
42033.0,TB,Cameron Brate
52587.0,DAL,Bradlee Anae
47890.0,TB,Anthony Nelson
33084.0,ATL,Matt Ryan
35452.0,PHI,Brandon Graham
38542.0,PHI,Fletcher Cox
39975.0,ATL,Cordarrelle Patterson
41232.0,ATL,Jake Matthews
42469.0,ATL,Mike Davis
43378.0,PHI,Javon Hargrave
44826.0,PHI,Derek Barnett
45215.0,PHI,Eric Wilson
46094.0,ATL,Hayden Hurst
46219.0,PHI,Genard Avery
47797.0,ATL,Chris Lindstrom
47814.0,ATL,Kaleb McGary
48516.0,PHI,T.J. Edwards
52486.0,ATL,Matt Hennessy
53433.0,ATL,Kyle Pitts
53497.0,ATL,Jalen Mayfield
42929.0,PHI,Alex Singleton
37089.0,PHI,Ryan Kerrigan
43405.0,PHI,Hassan Ridgeway
46199.0,PHI,Josh Sweat
53502.0,PHI,Milton Williams
37266.0,PHI,Jason Kelce
38606.0,PHI,Brandon Brooks
39950.0,PHI,Lane Johnson
39983.0,PHI,Zach Ertz
40095.0,ATL,Steven Means
42346.0,ATL,Dante Fowler
42480.0,ATL,Grady Jarrett
43341.0,ATL,Deion Jones
43368.0,PHI,Isaac Seumalo
46269.0,ATL,Foyesade Oluokun
46302.0,PHI,Jordan Mailata
46416.0,ATL,Jacob Tuioti-Mariner
47836.0,PHI,Miles Sanders
52461.0,PHI,Jalen Hurts
37234.0,ATL,Lee Smith
41808.0,ATL,Keith Smith
53543.0,ATL,Drew Dalman
48723.0,ATL,Parker Hesse
53663.0,PHI,Patrick Johnson
43361.0,ATL,Jonathan Bullard
46118.0,PHI,Dallas Goedert
47840.0,PHI,J.J. Arcega-Whiteside
52527.0,ATL,Mykal Walker
42497.0,ATL,Tyeler Davison
53946.0,PHI,Jack Stoll
52604.0,PHI,Shaun Bradley
52455.0,ATL,Marlon Davidson
53611.0,ATL,Adetokunbo Ogundeji
53579.0,PHI,Kenneth Gainwell
53618.0,PHI,Marlon Tuipulotu
35449.0,PIT,Tyson Alualu
37104.0,PIT,Cameron Heyward
42392.0,BUF,Mitch Morse
42445.0,BUF,Daryl Williams
42471.0,BUF,Jon Feliciano
