mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,tackle_name,team,n
-0.07217,0.27147,-0.64873,0.40841,0.12546,0.09492,4.96926,11.13629,2.36472,Alejandro Villanueva,BAL,88
-0.41001,0.2985,-1.05528,0.11229,0.12769,0.09691,5.76443,10.70781,1.84404,Alex Bars,CHI,5
-0.14842,0.2722,-0.73047,0.33709,0.12562,0.09501,4.98058,10.92311,2.34836,Alex Leatherwood,LV,62
-0.10222,0.27287,-0.6825,0.38659,0.12549,0.09487,5.0094,10.9671,2.31842,Andre Dillard,PHI,46
-0.01447,0.38904,-0.79415,0.66394,0.12941,0.09464,9.32092,16.10916,1.33678,Andre Smith,BAL,1
-0.15186,0.27163,-0.7453,0.32481,0.12548,0.09492,4.97616,11.06016,2.35541,Andrew Thomas,NYG,72
-0.08041,0.27183,-0.66919,0.39442,0.12558,0.095,4.96905,11.10946,2.36111,Andrew Whitworth,LA,86
-0.06086,0.27154,-0.64049,0.42166,0.12529,0.09476,4.97633,11.05683,2.35279,Austin Jackson,MIA,61
-0.13551,0.27201,-0.72202,0.34571,0.12546,0.09489,4.98193,11.03221,2.34613,Billy Turner,GB,58
-0.18812,0.27461,-0.79084,0.29167,0.12567,0.09494,5.0594,10.89013,2.26694,Blake Hance,CLE,30
-0.20872,0.2951,-0.83891,0.3063,0.12574,0.0941,5.7869,10.81264,1.83701,Bobby Hart,TEN,5
-0.14262,0.27146,-0.71951,0.34182,0.12549,0.09494,4.96531,10.96975,2.36586,Bobby Massie,DEN,91
-0.03619,0.27827,-0.66145,0.44029,0.12591,0.09497,5.16062,10.81658,2.17782,Braden Smith,IND,16
-0.03594,0.27478,-0.63599,0.45283,0.12547,0.09475,5.07285,10.91905,2.25795,Brady Christensen,CAR,26
-0.13668,0.27331,-0.73742,0.33569,0.12549,0.09485,5.02328,10.914,2.30365,Brandon Parker,LV,38
-0.11582,0.27442,-0.69468,0.3869,0.12599,0.09522,5.01688,10.96488,2.30809,Brandon Shell,SEA,36
-0.15479,0.27187,-0.7372,0.32621,0.12578,0.09517,4.95675,11.09794,2.37533,Brian O'Neill,MIN,91
-0.07936,0.28107,-0.72017,0.38873,0.12658,0.09541,5.20086,10.78989,2.14452,Bryan Bulaga,LAC,13
-0.2681,0.30496,-0.9078,0.27709,0.12746,0.09547,6.01496,10.83319,1.76201,Calvin Anderson,DEN,4
