mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,tackle_name,team,n
1.77478,5.97704,-6.81392,15.78963,2.45104,1.86685,7.89465,15.10288,1.92649,Alejandro Villanueva,BAL,39
1.30939,5.98142,-6.62277,15.96339,2.45151,1.8434,7.89658,15.26446,1.87174,Alex Bars,CHI,5
1.83464,5.97829,-6.5034,16.0824,2.45133,1.86895,7.89296,15.14901,1.92056,Alex Leatherwood,LV,18
1.95032,5.97802,-6.34513,16.25397,2.45211,1.87432,7.88963,15.27642,1.92621,Andre Dillard,PHI,21
1.48023,5.98093,-6.67199,15.92021,2.45086,1.85238,7.88471,14.87914,1.87752,Andre Smith,BAL,4
1.54745,5.97873,-6.68654,15.90074,2.45116,1.85649,7.8931,15.18497,1.92988,Andrew Thomas,NYG,20
1.57432,5.97723,-6.70865,15.88272,2.45095,1.85763,7.89408,14.92093,1.9102,Andrew Whitworth,LA,16
1.91087,5.97724,-6.45504,16.14281,2.45085,1.87244,7.89084,14.9979,1.91005,Austin Jackson,MIA,13
2.27378,5.97616,-6.03674,16.51349,2.45128,1.88573,7.89447,14.94472,1.92452,Billy Turner,GB,25
2.00004,5.97509,-6.31818,16.26544,2.45071,1.87579,7.88727,14.88551,1.92007,Blake Hance,CLE,19
1.70288,5.97949,-6.501,16.15323,2.45125,1.86354,7.89223,15.72618,1.88724,Bobby Hart,TEN,7
1.77798,5.97657,-6.58584,15.97085,2.45109,1.86666,7.8878,15.20671,1.91826,Bobby Massie,DEN,25
2.0908,5.9787,-6.25551,16.33892,2.45088,1.87872,7.89302,15.13622,1.89411,Braden Smith,IND,7
1.71794,5.97706,-6.48344,16.08319,2.45025,1.86327,7.89288,14.97854,1.89931,Brady Christensen,CAR,9
1.74556,5.97779,-6.47547,16.11237,2.45054,1.86494,7.89671,15.08109,1.89939,Brandon Parker,LV,11
1.95834,5.98031,-6.3244,16.26691,2.45184,1.87502,7.88902,14.78804,1.9125,Brandon Shell,SEA,20
1.91659,5.97641,-6.33761,16.28049,2.45001,1.8718,7.8977,15.13436,1.91679,Brian O'Neill,MIN,25
2.09619,5.99199,-5.95922,16.56895,2.45022,1.87585,7.89276,15.49068,1.8214,Bryan Bulaga,LAC,1
2.21111,5.97965,-5.93855,16.68205,2.45093,1.88384,7.88945,15.27981,1.85945,Calvin Anderson,DEN,3
1.92714,5.97626,-6.30808,16.26225,2.4509,1.87306,7.88852,15.19636,1.92529,Cam Robinson,JAX,27
1.77497,5.97759,-6.54234,16.05781,2.45134,1.86667,7.89101,15.2103,1.92618,Cameron Erving,CAR,31
1.68084,5.97903,-6.80863,15.755,2.44968,1.86093,7.89154,15.60503,1.89452,Cedric Ogbuehi,SEA,4
1.95948,5.97504,-6.27373,16.30334,2.45029,1.8731,7.88725,15.18279,1.93043,Charles Leno,WAS,24
1.62504,5.97734,-6.71749,15.88414,2.45092,1.86057,7.88891,15.31495,1.90937,Charlie Heck,HOU,11
1.50716,5.97728,-6.69282,15.89456,2.45054,1.85352,7.89405,14.78385,1.9048,Christian Darrisaw,MIN,9
1.74534,5.98092,-6.20521,16.39218,2.45224,1.86662,7.88404,15.00108,1.89767,Christopher Hubbard,CLE,6
2.04042,5.97568,-6.21685,16.3793,2.45058,1.8765,7.88636,15.38776,1.91008,Chukwuma Okorafor,PIT,11
2.26025,5.97446,-5.844,16.71722,2.44994,1.88355,7.89053,15.18424,1.90235,Cornelius Lucas,WAS,12
1.6972,5.97649,-6.57575,16.00997,2.45124,1.8637,7.89068,15.23308,1.92879,D.J. Humphries,ARI,39
1.86944,5.97677,-6.40263,16.1849,2.45123,1.87097,7.89328,15.31171,1.92346,Dan Moore,PIT,32
1.80458,5.97704,-6.33895,16.26947,2.45058,1.8675,7.89625,14.98832,1.91756,Daryl Williams,BUF,22
0.96242,5.99577,-7.1354,15.49988,2.45189,1.82613,7.891,15.3784,1.81501,David Njoku,CLE,1
