"  ","Player"," ","Team","Power Score","Power Score SD","Number of Power Rushes Faced","Ranking"
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/alejandrov.png"" height=""35""></img>'","Alejandro Villanueva","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/ravens.png""  height=""30""></img>'","BAL",0.895,0.271,88,11
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/alexb.png"" height=""35""></img>'","Alex Bars","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bears.png"" height=""30"" ></img>'","CHI",-3.069,0.298,5,101
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/alexl.png"" height=""35""></img>'","Alex Leatherwood","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/raiders.png""  height=""30""></img>'","LV",0,0.272,62,50
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/andred.png"" height=""35""></img>'","Andre Dillard","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/eagles.png""  height=""30""></img>'","PHI",0.542,0.273,46,25
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/andrewt.png"" height=""35""></img>'","Andrew Thomas","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/giants.png""  height=""30""></img>'","NYG",-0.04,0.272,72,52
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/andreww.png"" height=""35""></img>'","Andrew Whitworth","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/rams.png""  height=""30""></img>'","LA",0.798,0.272,86,16
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/austinj.png"" height=""35""></img>'","Austin Jackson","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/dolphins.png""  height=""30""></img>'","MIA",1.027,0.272,61,7
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/billyt.png"" height=""35""></img>'","Billy Turner","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/packers.png""  height=""30""></img>'","GB",0.152,0.272,58,38
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/blakeh.png"" height=""35""></img>'","Blake Hance","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/browns.png""  height=""30""></img>'","CLE",-0.466,0.275,30,76
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/bobbyh.png"" height=""35""></img>'","Bobby Hart","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/titans.png""  height=""30""></img>'","TEN",-0.707,0.295,5,84
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/bobbym.png"" height=""35""></img>'","Bobby Massie","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/broncos.png"" height=""30""></img>'","DEN",0.068,0.271,91,46
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/bradens.png"" height=""35""></img>'","Braden Smith","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/colts.png"" height=""30"" ></img>'","IND",1.317,0.278,16,5
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/bradyc.png"" height=""35""></img>'","Brady Christensen","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/panthers.png""  height=""30""></img>'","CAR",1.32,0.275,26,4
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/brandonp.png"" height=""35""></img>'","Brandon Parker","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/raiders.png""  height=""30""></img>'","LV",0.138,0.273,38,41
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/brandons.png"" height=""35""></img>'","Brandon Shell","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/seahawks.png""  height=""30""></img>'","SEA",0.383,0.274,36,29
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/briano.png"" height=""35""></img>'","Brian O'Neill","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/vikings.png""  height=""30"" ></img>'","MIN",-0.075,0.272,91,53
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/bryanb.png"" height=""35""></img>'","Bryan Bulaga","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/chargers.png""  height=""30""></img>'","LAC",0.81,0.281,13,14
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/camr.png"" height=""35""></img>'","Cam Robinson","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/jags.png""  height=""30""></img>'","JAX",-0.616,0.272,79,82
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/camerone.png"" height=""35""></img>'","Cameron Erving","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/panthers.png""  height=""30""></img>'","CAR",0.783,0.272,64,17
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/cedrico.png"" height=""35""></img>'","Cedric Ogbuehi","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/seahawks.png""  height=""30""></img>'","SEA",-1.301,0.295,5,98
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/charlesl.png"" height=""35""></img>'","Charles Leno","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/commanders.png"" height=""30"" ></img>'","WAS",0.57,0.271,93,22
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/charlieh.png"" height=""35""></img>'","Charlie Heck","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/texans.png""  height=""30""></img>'","HOU",-0.541,0.276,26,78
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/christiand.png"" height=""35""></img>'","Christian Darrisaw","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/vikings.png""  height=""30"" ></img>'","MIN",-3.484,0.277,23,102
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/chukwumao.png"" height=""35""></img>'","Chukwuma Okorafor","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/steelers.png""  height=""30""></img>'","PIT",-0.343,0.272,60,70
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/corneliusl.png"" height=""35""></img>'","Cornelius Lucas","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/commanders.png"" height=""30"" ></img>'","WAS",0.723,0.274,33,20
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/djh.png"" height=""35""></img>'","D.J. Humphries","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/cardinals.png"" height=""30"" ></img>'","ARI",-0.541,0.272,64,79
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/danm.png"" height=""35""></img>'","Dan Moore","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/steelers.png""  height=""30""></img>'","PIT",0.988,0.272,80,8
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/darylw.png"" height=""35""></img>'","Daryl Williams","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bills.png"" height=""30"" ></img>'","BUF",-0.106,0.274,34,54
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/davidq.png"" height=""35""></img>'","David Quessenberry","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/titans.png""  height=""30""></img>'","TEN",0.371,0.272,83,30
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/diond.png"" height=""35""></img>'","Dion Dawkins","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bills.png"" height=""30"" ></img>'","BUF",-0.111,0.272,71,56
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/donovans.png"" height=""35""></img>'","Donovan Smith","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/bucs.png"" height=""30"" ></img>'","TB",0.065,0.271,129,47
"<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/Lineman%20Pictures/duaneb.png"" height=""35""></img>'","Duane Brown","<img src=""https://github.com/cnickol26/BigDataBowl2023/raw/main/logos/seahawks.png""  height=""30""></img>'","SEA",-0.27,0.272,68,64
